Time,ECG Lead1,ECG Lead2,ECG Lead 3,BP1,Heart Beat,Temp 
290,0.241645244,-0.096854305,1.261373773,-0.386100386,-0.296264648,98.61459339
292,0.241645244,-0.091059603,1.274754683,-0.530888031,-0.37677002,98.61784989
294,0.23479006,-0.091887417,1.305084746,-0.530888031,-0.251556396,98.61968209
296,0.244215938,-0.111754967,1.316681534,-0.530888031,-0.03326416,98.62157611
298,0.240788346,-0.116721854,1.340767172,-0.579150579,0.156280518,98.62188487
300,0.232219366,-0.148178808,1.37823372,-0.530888031,0.217315674,98.61877341
302,0.245072836,-0.156456954,1.413916146,-0.530888031,0.157226563,98.61870356
304,0.241645244,-0.19205298,1.435325602,-0.530888031,0.052062988,98.61929896
306,0.233933162,-0.220198675,1.475468332,-0.482625483,-0.027526855,98.62258176
308,0.264781491,-0.211092715,1.51382694,-0.530888031,-0.048309326,98.61961045
310,0.286203942,-0.177980132,1.606601249,-0.434362934,-0.027526855,98.61988791
312,0.284490146,-0.16307947,1.670829616,-0.579150579,-0.004455566,98.62296602
314,0.346186804,-0.147350993,1.664585192,-0.434362934,-0.004760742,98.62151707
316,0.347043702,-0.159768212,1.533452275,-0.579150579,-0.016967773,98.62199462
318,0.335904027,-0.151490066,1.429973238,-0.482625483,-0.026184082,98.624169
320,0.378748929,-0.110927152,1.331846566,-0.627413127,-0.022003174,98.62119412
322,0.407026564,-0.113410596,1.290811775,-0.482625483,-0.00112915,98.62263169
324,0.413881748,-0.094370861,1.306868867,-0.627413127,0.013214111,98.61763258
326,0.449871465,-0.073675497,1.300624442,-0.482625483,0.018676758,98.61776435
328,0.470437018,-0.09602649,1.238180196,-0.579150579,0.013793945,98.61846264
330,0.470437018,-0.136589404,1.231043711,-0.530888031,0.007324219,98.61353301
332,0.402742074,-0.124172185,1.288135593,-0.482625483,0.007049561,98.61745773
334,0.378748929,-0.091887417,1.288135593,-0.482625483,0.007049561,98.62078967
336,0.3479006,-0.083609272,1.289919715,-0.482625483,0.011138916,98.62354132
